-,-,-,-,-,-,-,-,-,-,-,-
0.07,0.93,0.32,22.95,-5.49,-12.15,0.99,26.54,97,571,76,36
0.18,0.97,0.17,4.27,1.77,-17.27,1.00,17.88,116,571,87,38
0.21,0.93,0.14,18.07,-2.50,-13.12,0.96,22.47,156,571,95,42
0.17,1.00,0.19,14.77,-2.50,-9.34,1.03,17.65,165,571,95,42
0.17,0.95,0.22,10.19,-1.46,-10.13,0.99,14.45,182,583,99,35
0.17,1.04,0.21,3.42,0.06,-13.55,1.07,13.97,115,614,103,25
0.17,1.07,0.23,0.00,2.99,-22.34,1.10,22.54,87,655,102,10
0.18,1.19,0.21,-7.02,6.47,-37.54,1.22,38.73,54,711,109,3
0.22,1.27,0.15,-15.14,8.54,-73.91,1.30,75.93,27,747,105,1
0.20,1.02,0.24,-19.71,8.24,-101.20,1.07,103.43,15,770,97,0
0.28,0.82,0.22,-25.45,12.51,-102.97,0.90,106.80,10,787,87,0
0.42,1.00,0.08,-42.18,11.78,-102.36,1.09,111.33,8,798,71,0
0.36,1.19,0.05,-86.55,4.76,-131.77,1.25,157.73,6,786,45,0
0.45,1.09,0.12,-96.80,12.02,-149.60,1.19,178.59,5,766,21,0
0.51,0.65,-0.29,-132.57,-3.78,-126.10,0.87,183.00,3,723,11,2
0.27,1.00,-0.19,-154.36,-52.43,-72.51,1.06,178.42,2,702,4,2
-0.12,0.98,0.06,-86.06,-114.32,5.25,0.99,143.19,2,676,0,4
-0.50,0.58,0.21,-7.08,-172.24,60.61,0.79,182.73,1,665,0,4
-0.77,0.39,0.37,21.00,-180.42,88.38,0.94,202.00,1,682,0,3
-0.64,0.39,0.25,15.08,-146.42,137.15,0.79,201.19,1,690,0,4
-0.28,0.69,0.23,-12.39,-113.22,168.95,0.78,203.75,1,695,0,2
0.25,1.05,0.11,-33.87,-95.28,174.87,1.09,202.00,1,694,0,3
0.45,1.33,0.26,-40.34,-129.76,151.73,1.43,203.69,1,693,0,3
0.69,1.40,0.56,-18.62,-131.96,140.14,1.66,193.39,2,698,0,2
1.20,1.22,0.54,-12.33,-92.53,79.71,1.79,122.75,1,701,0,2
1.20,0.59,0.34,-28.38,-39.18,-7.63,1.38,48.98,1,709,0,0
1.32,0.47,0.09,-57.19,-10.13,-39.31,1.41,70.13,1,687,0,2
1.03,-0.55,0.04,21.67,-27.40,-5.68,1.17,35.39,5,582,8,12
-0.31,0.89,0.29,-21.30,-27.53,44.62,0.99,56.59,25,522,14,40
-0.03,1.84,-0.09,-1.04,-3.48,-12.88,1.84,13.38,94,507,30,78
0.15,0.85,0.15,34.12,3.48,-27.53,0.88,43.98,186,507,47,84
0.19,0.90,0.08,5.68,1.46,-13.85,0.92,15.04,188,509,61,91
0.11,1.06,0.02,4.03,0.73,-6.16,1.06,7.40,264,506,68,100
0.15,0.94,0.08,10.44,0.12,-5.07,0.95,11.60,225,507,75,104
0.11,0.99,0.09,2.87,0.85,-5.92,1.01,6.63,281,506,81,103
0.13,0.99,0.09,-1.77,1.59,-8.36,1.00,8.69,250,516,87,91
0.13,1.02,0.08,-2.69,2.87,-11.96,1.03,12.59,256,531,95,71
0.13,1.02,0.09,-1.89,4.33,-18.25,1.03,18.85,376,562,98,37
0.15,1.03,0.07,-8.48,7.26,-27.77,1.05,29.93,261,613,103,17
0.16,1.08,0.06,-13.55,8.61,-36.38,1.10,39.76,158,670,106,6
0.21,1.12,0.00,-18.07,7.69,-51.70,1.14,55.30,143,717,108,1
0.23,1.29,-0.06,-20.87,2.26,-76.05,1.32,78.89,71,764,109,0
0.27,1.50,-0.15,-19.59,-3.42,-123.29,1.53,124.88,36,796,107,0
0.18,1.76,0.15,-47.91,-4.15,-174.13,1.77,180.65,19,812,87,0
0.14,1.71,0.32,-102.29,9.28,-233.89,1.75,255.45,10,803,49,0
0.30,1.18,0.18,-136.35,27.47,-253.97,1.24,289.56,4,778,17,0
0.21,1.00,0.05,-185.91,-21.18,-148.07,1.02,238.62,2,708,5,3
-0.25,0.86,0.21,-58.96,-52.73,-24.05,0.92,82.68,2,666,0,2
-0.48,0.63,0.11,19.90,-100.40,90.76,0.80,136.80,1,663,0,1
-0.82,0.32,0.38,39.25,-140.69,102.36,0.96,178.35,1,658,0,2
-0.72,0.07,0.12,66.16,-92.96,177.86,0.73,211.31,1,664,0,4
-0.10,0.64,-0.11,38.21,-102.54,220.15,0.66,245.85,1,655,0,3
0.25,0.91,-0.24,28.02,-121.09,214.54,0.98,247.94,2,659,0,3
0.33,0.98,-0.05,2.69,-146.79,189.03,1.04,239.34,2,664,0,1
0.56,1.43,0.51,-14.10,-70.98,189.39,1.62,202.75,1,685,0,2
1.82,1.47,0.73,-24.90,4.82,141.36,2.45,143.62,2,692,0,0
2.33,0.97,0.41,-20.26,38.76,17.46,2.56,47.09,2,692,0,0
3.00,2.16,0.04,-45.04,41.81,-64.88,3.70,89.37,5,614,11,8
0.48,0.85,-0.27,0.37,-3.11,42.05,1.01,42.17,28,559,22,25
-0.05,1.71,-0.01,24.35,-5.00,7.32,1.71,25.92,117,513,34,65
0.09,1.04,0.20,76.11,8.85,-26.61,1.06,81.11,167,509,65,84
0.18,0.84,0.19,35.10,5.98,-23.80,0.88,42.83,268,516,83,86
0.18,0.92,0.11,15.69,3.23,-16.05,0.95,22.68,193,519,92,85
0.14,0.95,0.14,15.81,-0.55,-14.16,0.97,21.23,264,523,97,85
0.15,0.95,0.15,9.28,-0.55,-10.74,0.98,14.20,288,529,101,79
0.14,0.98,0.15,4.33,-0.92,-10.62,1.00,11.51,254,540,102,58
0.13,0.99,0.18,-0.18,0.24,-14.04,1.02,14.04,243,570,110,36
0.14,1.04,0.15,-7.32,3.60,-23.32,1.06,24.70,210,616,113,17
0.16,1.11,0.13,-16.72,5.92,-36.07,1.13,40.20,150,668,115,5
0.18,1.08,0.14,-25.39,9.46,-53.10,1.10,59.61,117,714,116,1
0.23,1.05,0.07,-28.02,11.54,-67.63,1.08,74.10,69,756,116,0
0.26,1.10,0.05,-20.20,8.36,-78.12,1.13,81.13,36,784,110,0
0.27,1.31,0.07,-12.27,5.19,-102.11,1.34,102.98,23,801,108,0
0.19,1.69,0.23,-27.40,4.88,-142.64,1.71,145.33,14,813,103,0
0.22,1.83,0.24,-58.78,17.94,-212.83,1.86,221.52,8,814,71,0
0.30,1.62,0.44,-94.06,36.93,-272.64,1.71,290.77,4,803,36,0
0.29,0.63,-0.03,-128.30,41.87,-245.12,0.69,279.81,2,746,11,0
-0.30,0.60,-0.01,-127.20,6.96,-122.62,0.67,176.81,2,686,5,2
-0.76,0.53,0.26,-48.65,-30.88,-2.62,0.96,57.68,2,660,0,4
-0.79,0.47,0.16,13.43,-72.33,137.57,0.93,156.01,2,660,0,2
-0.53,0.10,0.09,54.63,-96.68,185.97,0.54,216.60,1,667,0,2
-0.39,0.43,0.02,50.23,-98.94,230.90,0.58,256.17,1,669,0,3
-0.10,0.72,-0.03,36.13,-109.68,245.18,0.72,271.01,1,673,0,3
0.03,1.20,0.09,25.94,-132.63,247.86,1.20,282.31,1,682,0,2
0.43,1.45,0.39,37.60,-116.39,266.85,1.56,293.54,1,697,0,1
1.83,1.65,0.70,35.64,-69.21,219.48,2.56,232.88,2,703,0,3
3.37,2.29,0.87,-75.87,44.43,35.34,4.17,94.76,2,616,1,12
3.64,0.30,-0.56,-33.81,105.83,-111.33,3.69,157.28,6,560,8,29
-0.48,1.11,0.14,-29.97,-22.58,0.24,1.21,37.53,26,516,21,58
0.01,1.57,-0.01,33.75,5.98,-27.95,1.57,44.23,107,501,49,90
0.17,0.90,0.24,44.56,2.75,-35.46,0.94,57.01,158,501,73,97
0.20,0.93,0.14,15.81,2.38,-21.67,0.96,26.93,178,510,87,97
0.29,0.94,0.06,9.22,2.99,-17.09,0.99,19.65,210,518,94,92
0.18,0.95,0.14,12.51,3.85,-14.16,0.97,19.28,315,526,102,84
0.18,0.98,0.14,8.54,-3.05,-11.66,1.00,14.77,297,539,107,72
0.15,0.99,0.17,4.52,-2.20,-13.37,1.01,14.28,232,565,109,51
0.18,1.04,0.16,-0.49,2.08,-18.19,1.06,18.31,193,604,109,23
0.16,1.08,0.16,-8.61,2.62,-33.87,1.11,35.05,145,657,116,10
0.20,1.12,0.15,-19.59,12.39,-45.72,1.15,51.26,92,711,118,2
0.22,1.16,0.10,-27.22,10.38,-66.04,1.18,72.18,48,749,118,0
0.28,1.09,0.05,-19.65,7.26,-81.54,1.13,84.19,24,786,115,0
0.30,1.16,0.09,-9.58,8.67,-95.89,1.20,96.75,16,803,111,0
0.32,1.60,0.10,-9.64,6.65,-119.45,1.64,120.02,10,807,100,0
0.36,1.81,-0.01,-15.01,6.65,-175.66,1.84,176.43,6,802,65,0
0.33,1.64,0.17,-28.20,4.94,-231.14,1.68,232.91,3,797,34,0
0.50,1.09,0.02,-71.66,0.12,-232.79,1.20,243.57,2,761,10,2
-0.01,0.61,-0.06,-83.92,-27.34,-162.66,0.62,185.06,1,727,7,5
-0.53,0.71,0.25,-40.04,-65.67,-47.49,0.92,90.39,1,707,1,6
-1.09,0.30,0.17,-14.77,-93.02,64.33,1.14,114.06,1,699,0,5
-1.06,0.08,0.14,-5.98,-87.52,133.42,1.07,159.68,1,697,0,5
-0.66,0.47,0.01,-9.52,-35.95,203.06,0.81,206.44,1,698,0,6
-0.30,0.78,-0.05,-22.34,-38.64,235.66,0.84,239.85,1,684,0,6
0.24,1.09,-0.13,-42.54,-72.63,242.61,1.12,256.80,1,669,0,4
0.07,1.61,0.37,-41.14,-105.29,226.87,1.65,253.47,1,673,0,3
0.98,1.58,0.42,-19.65,-64.09,220.83,1.90,230.78,1,682,0,4
2.02,1.51,0.49,-52.19,-20.94,104.37,2.57,118.55,1,686,0,1
3.68,2.92,1.28,-34.30,25.09,-36.44,4.87,55.98,2,599,3,6
3.37,0.62,-0.01,56.40,16.54,-30.58,3.43,66.25,6,581,10,8
-0.63,1.03,0.31,6.10,3.91,34.00,1.24,34.76,17,566,20,16
0.36,1.57,-0.08,-1.40,12.27,-25.63,1.62,28.45,71,536,46,44
0.16,1.12,0.07,45.23,2.69,-21.61,1.14,50.19,134,529,69,61
0.11,0.91,0.28,31.49,1.71,-20.57,0.96,37.65,168,534,86,67
0.24,0.96,0.07,19.35,2.81,-22.34,0.99,29.69,196,541,90,58
0.18,0.93,0.17,12.76,0.61,-13.55,0.96,18.62,201,544,100,61
0.18,0.96,0.17,7.32,0.49,-10.93,0.99,13.16,294,552,105,52
0.17,0.97,0.17,2.81,1.34,-10.07,1.00,10.54,222,566,106,38
0.17,1.02,0.18,-2.01,4.27,-12.82,1.05,13.66,250,593,113,22
0.18,1.02,0.18,-4.46,5.86,-19.04,1.05,20.42,149,633,115,13
0.20,1.05,0.17,-11.54,10.38,-28.93,1.08,32.83,123,676,116,6
0.22,1.06,0.13,-16.30,12.70,-40.77,1.09,45.71,73,715,116,1
0.26,1.05,0.07,-13.73,12.27,-52.19,1.08,55.34,42,747,113,0
0.31,0.97,0.05,-1.10,6.71,-56.15,1.02,56.56,24,767,114,0
0.35,0.86,0.02,6.53,2.44,-59.51,0.93,59.92,16,780,107,0
0.23,1.01,0.26,-3.72,0.43,-72.14,1.07,72.24,12,788,104,0
0.27,1.15,0.28,-24.60,13.31,-92.04,1.21,96.20,11,802,106,0
0.39,1.66,0.21,-67.20,26.86,-154.91,1.71,170.98,9,804,87,0
0.38,1.62,0.27,-103.82,31.19,-210.33,1.69,236.62,7,789,47,0
0.54,0.78,-0.13,-130.80,35.83,-216.80,0.96,255.72,3,746,21,0
0.19,0.38,-0.48,-197.08,-4.82,-145.26,0.64,244.88,3,673,10,1
-0.36,1.52,-0.06,-74.52,-55.73,-13.67,1.56,94.05,2,653,2,2
-0.68,0.30,-0.34,-24.17,-111.15,112.61,0.81,160.06,2,641,3,2
-0.89,0.45,0.19,5.55,-199.95,159.24,1.01,255.67,2,655,1,3
-1.00,0.26,0.12,36.50,-213.93,202.64,1.04,296.92,2,670,0,5
-0.81,0.56,0.17,-16.91,-179.50,237.73,1.00,298.37,2,677,2,6
-0.17,1.33,0.26,-46.39,-160.71,236.63,1.36,289.78,2,676,0,4
0.43,1.58,0.13,-49.26,-159.36,186.83,1.64,250.45,2,681,0,2
0.92,1.49,0.47,-42.42,-153.81,174.13,1.81,236.18,2,689,1,2
2.46,2.74,1.27,-69.21,-80.57,31.37,3.90,110.75,2,638,2,5
3.29,-0.30,1.40,113.65,-27.34,-134.52,3.59,178.21,6,569,11,14
-0.34,0.47,0.58,-27.95,-16.48,30.88,0.82,44.80,19,565,21,20
0.15,1.42,-0.07,-53.04,16.48,5.98,1.43,55.86,79,532,38,48
0.03,1.44,-0.12,20.51,-6.77,-6.47,1.44,22.55,158,516,55,69
0.17,0.85,0.20,41.63,4.82,-16.05,0.89,44.87,220,518,68,79
0.15,0.97,0.16,23.86,-0.31,-11.11,0.99,26.33,205,514,82,88
0.13,0.95,0.17,13.73,2.38,-10.13,0.98,17.23,224,518,90,88
0.15,0.96,0.16,8.30,0.06,-9.83,0.98,12.86,273,520,90,86
0.16,0.97,0.15,1.40,-0.12,-9.28,1.00,9.38,299,531,99,75
0.15,1.00,0.16,0.00,0.49,-10.99,1.02,11.00,352,548,102,56
0.16,1.01,0.15,-1.34,1.95,-15.75,1.03,15.92,329,571,102,30
0.16,1.02,0.16,-3.48,3.30,-21.30,1.04,21.83,207,616,108,17
0.18,1.01,0.14,-10.50,5.74,-31.74,1.04,33.92,161,657,110,8
0.22,1.01,0.09,-12.88,6.47,-40.77,1.03,43.24,109,698,113,2
0.26,1.05,0.05,-12.39,4.15,-49.38,1.08,51.08,81,729,109,0
0.24,1.11,0.10,-13.24,-0.92,-60.36,1.14,61.81,51,759,109,0
0.22,1.13,0.19,-17.76,5.07,-81.12,1.17,83.19,29,782,112,0
0.31,1.41,0.08,-27.77,13.12,-109.38,1.45,113.61,19,805,102,0
0.34,1.68,0.04,-48.03,5.74,-162.05,1.72,169.12,12,818,79,0
0.27,1.40,0.23,-82.03,3.85,-216.92,1.45,231.94,8,807,47,0
0.49,0.74,0.07,-118.29,16.36,-226.81,0.89,256.32,4,785,20,0
0.37,0.42,-0.53,-228.70,-35.16,-112.00,0.77,257.07,2,717,8,1
-0.31,0.99,0.42,-101.44,-87.22,3.72,1.12,133.83,2,666,1,3
-0.48,0.22,-0.24,-11.78,-120.79,107.91,0.58,162.40,2,652,0,2
-0.82,0.43,0.24,8.73,-196.78,142.70,0.95,243.23,1,657,0,3
-0.86,0.17,0.08,27.95,-191.04,174.13,0.88,260.00,1,659,0,5
-0.62,0.76,0.24,-22.16,-172.12,214.36,1.01,275.80,1,667,0,4
0.07,1.37,0.31,-35.22,-143.25,221.01,1.41,265.72,2,671,0,0
0.85,1.46,0.16,-39.37,-168.40,166.99,1.69,240.40,2,673,0,0
1.22,1.65,0.96,-32.35,-169.31,116.09,2.27,207.82,2,680,0,2
1.56,0.87,0.80,-52.73,-31.13,22.64,1.96,65.29,2,682,1,1
2.57,3.32,1.84,-13.98,52.31,-70.19,4.59,88.65,2,628,4,2
1.25,-0.21,-0.75,57.92,45.17,-0.61,1.47,73.45,9,598,19,6
0.17,1.60,-0.34,8.06,6.84,27.59,1.64,29.54,36,573,39,25
0.04,1.31,0.13,58.96,-12.57,-0.37,1.31,60.29,116,536,61,54
0.09,0.85,0.35,47.36,-2.93,-16.42,0.93,50.21,186,529,73,68
0.16,0.97,0.17,17.82,2.38,-14.04,1.00,22.81,202,533,84,70
0.19,0.86,0.17,11.54,0.49,-12.94,0.90,17.34,193,537,90,70
0.18,0.94,0.19,11.41,-1.34,-10.38,0.98,15.48,171,536,95,71
0.17,0.94,0.20,7.08,-1.46,-8.42,0.98,11.10,184,542,93,62
0.17,0.96,0.20,4.33,-0.98,-8.73,0.99,9.79,160,561,100,44
0.17,1.01,0.19,1.89,0.24,-11.05,1.04,11.21,207,591,99,27
0.19,1.00,0.19,-0.24,1.16,-18.19,1.04,18.23,123,635,104,17
0.20,0.99,0.18,-6.41,1.89,-25.88,1.03,26.73,85,669,100,8
0.22,0.98,0.16,-11.11,1.77,-34.79,1.01,36.56,55,703,107,6
0.23,0.96,0.16,-14.28,1.77,-40.16,1.00,42.66,39,725,103,0
0.27,0.88,0.13,-12.57,1.59,-41.99,0.93,43.86,24,750,107,0
0.25,1.11,0.18,-17.21,-1.71,-47.00,1.16,50.08,19,767,103,0
0.27,1.31,0.16,-25.76,1.34,-68.60,1.34,73.29,14,775,92,0
0.26,1.57,0.16,-31.74,5.98,-109.99,1.60,114.63,9,795,82,0
0.24,1.62,0.24,-67.14,12.94,-192.02,1.65,203.83,7,793,66,0
0.28,1.23,0.44,-107.60,26.00,-239.38,1.34,263.74,5,781,35,0
0.53,0.48,0.03,-149.66,38.33,-220.34,0.71,269.10,2,757,16,2
0.34,0.45,-0.20,-185.24,-0.43,-120.48,0.60,220.98,2,706,6,4
-0.11,0.74,0.23,-84.35,-28.14,16.05,0.78,90.36,1,693,1,3
-0.61,0.51,0.20,-17.40,-149.72,132.32,0.82,200.57,1,681,0,6
-0.86,0.33,0.41,25.33,-180.36,144.59,1.01,232.55,1,705,0,4
-0.63,0.18,0.14,21.42,-146.48,177.06,0.67,230.80,1,713,0,6
-0.15,0.84,0.25,-16.24,-139.65,205.20,0.89,248.74,1,716,0,5
0.23,1.12,0.47,1.40,-163.15,210.69,1.24,266.48,1,713,0,4
0.80,1.31,0.58,21.00,-130.80,208.92,1.64,247.38,1,725,0,4
1.48,1.16,0.61,7.51,-57.31,152.71,1.98,163.28,1,726,0,3
2.01,1.27,0.66,-18.37,12.51,63.48,2.46,67.26,1,724,0,2
1.62,0.17,-0.62,-62.62,26.06,-40.10,1.74,78.80,4,622,10,12
-0.26,1.37,-0.29,-11.96,-5.00,51.51,1.42,53.12,12,553,11,25
0.06,1.33,0.03,13.73,-3.11,15.38,1.33,20.85,43,494,21,71
-0.02,1.14,0.16,35.89,-0.92,-12.21,1.15,37.92,101,490,35,90
0.15,0.82,0.22,10.74,5.80,-12.76,0.86,17.66,137,490,47,99
0.10,0.97,0.09,5.98,1.46,-7.20,0.98,9.48,200,491,56,104
0.12,1.01,0.10,8.67,1.65,-6.96,1.02,11.24,285,489,63,108
0.13,0.99,0.13,12.82,1.89,-9.89,1.00,16.30,225,493,70,111
0.12,0.96,0.15,10.07,-0.43,-13.00,0.98,16.45,307,502,82,101
0.14,0.99,0.14,13.98,-1.16,-18.25,1.01,23.02,201,519,93,88
0.14,0.97,0.16,12.63,-2.08,-18.86,0.99,22.80,204,542,97,63
0.15,0.97,0.17,6.84,-0.79,-20.02,1.00,21.17,209,575,102,35
0.16,1.00,0.16,-0.73,0.85,-22.40,1.02,22.43,158,622,107,16
0.17,1.01,0.16,-10.19,2.87,-29.30,1.03,31.15,122,671,109,9
0.20,1.03,0.12,-14.77,4.03,-37.78,1.06,40.76,86,710,108,3
0.21,1.05,0.13,-16.60,3.17,-48.10,1.07,50.98,66,740,115,0
0.22,1.07,0.14,-14.77,3.54,-57.86,1.10,59.82,38,767,115,0
0.18,1.20,0.23,-16.24,7.87,-77.39,1.23,79.47,26,786,112,0
0.21,1.37,0.23,-24.17,18.62,-107.30,1.40,111.55,16,804,115,0
0.32,1.55,0.13,-36.07,26.18,-144.23,1.59,150.96,11,818,109,0
0.29,1.99,0.11,-46.57,25.51,-206.91,2.02,213.61,7,821,75,0
0.28,1.76,0.36,-72.14,37.96,-287.11,1.81,298.46,4,808,39,0
0.33,0.39,0.11,-101.38,42.18,-252.93,0.53,275.74,2,743,16,2
-0.14,0.52,0.20,-73.79,19.90,-104.55,0.57,129.51,2,694,2,5
-0.75,0.19,-0.14,11.29,-12.21,62.13,0.79,64.32,1,683,0,5
-0.63,0.43,0.06,26.55,-98.57,131.23,0.77,166.26,1,681,0,4
-0.71,0.21,-0.03,44.07,-91.86,154.11,0.74,184.75,1,686,0,3
-0.46,0.37,-0.13,31.07,-75.62,197.69,0.61,213.93,1,688,0,4
-0.07,0.80,-0.10,1.34,-84.35,222.60,0.81,238.05,1,686,0,4
0.15,1.14,-0.02,-2.99,-114.38,226.56,1.15,253.82,1,688,0,3
0.67,1.39,0.25,12.15,-96.62,216.74,1.56,237.61,1,691,0,4
1.32,1.11,0.09,-16.91,-17.40,180.36,1.73,181.98,1,694,1,2
2.14,1.73,0.49,-63.48,29.42,123.90,2.80,142.29,1,674,0,3
3.97,0.19,0.23,90.82,61.71,-87.46,3.98,140.38,5,563,10,19
-0.19,0.91,0.11,-6.77,-3.66,62.26,0.94,62.73,11,529,14,30
-0.15,1.65,-0.08,-30.15,3.42,9.34,1.66,31.75,41,474,24,68
0.13,1.22,0.06,24.90,6.47,-35.46,1.23,43.81,101,477,46,87
0.14,0.79,0.24,20.87,-0.37,-27.95,0.83,34.89,221,485,66,87
0.10,0.98,0.13,8.06,1.46,-21.61,1.00,23.11,218,500,79,89
0.12,1.01,0.13,6.90,1.46,-17.58,1.03,18.94,216,515,91,85
0.15,0.97,0.16,8.30,2.44,-16.54,0.99,18.67,224,525,101,67
0.14,0.98,0.16,4.64,2.26,-16.48,1.00,17.27,320,544,104,44
0.15,0.96,0.19,-6.29,5.62,-18.31,0.99,20.16,281,570,106,22
0.16,1.01,0.16,-13.12,9.03,-22.83,1.03,27.84,183,612,114,12
0.18,0.98,0.15,-21.12,13.49,-26.86,1.00,36.73,138,653,115,5
0.21,0.97,0.10,-26.12,14.53,-33.69,0.99,45.04,115,693,114,2
0.21,0.99,0.10,-27.40,13.73,-39.79,1.02,50.23,76,722,118,1
0.29,0.96,-0.02,-23.07,12.02,-38.94,1.00,46.83,62,741,119,0
0.28,1.00,0.02,-11.72,4.70,-40.28,1.04,42.22,49,760,118,0
0.31,1.01,0.03,-4.94,1.83,-42.18,1.06,42.50,35,774,112,0
0.35,1.23,-0.06,-0.12,-2.62,-51.88,1.28,51.95,23,791,107,0
0.20,2.24,0.06,-21.06,-16.48,-129.39,2.25,132.13,14,804,89,0
0.21,1.80,0.26,-56.09,-6.59,-219.18,1.83,226.34,9,806,65,0
0.35,1.28,0.31,-116.46,10.25,-257.14,1.37,282.47,6,770,27,0
0.32,0.12,-0.45,-169.25,-2.01,-194.21,0.56,257.62,3,685,12,2
-0.39,0.53,0.05,-92.65,-83.74,-32.29,0.66,128.99,3,650,4,3
-0.78,0.05,0.04,-17.40,-196.23,78.00,0.78,211.88,3,630,2,2
-1.31,-0.03,0.50,6.29,-236.27,158.94,1.40,284.82,2,641,2,4
-0.89,-0.01,0.30,11.41,-196.35,213.62,0.94,290.38,2,645,1,3
-0.63,0.54,0.66,-19.41,-175.23,253.30,1.06,308.61,2,656,0,4
0.58,1.59,0.73,-4.70,-100.71,244.14,1.84,264.14,2,683,0,3
1.72,1.57,0.60,-4.03,-73.30,151.06,2.41,167.96,2,699,2,2
3.81,2.83,1.17,-29.85,-51.33,61.83,4.89,85.72,4,618,8,13
0.95,-0.16,0.27,-20.20,-10.25,48.03,1.00,53.11,7,606,14,9
-0.09,1.25,0.07,-43.09,3.72,7.87,1.25,43.96,19,570,22,18
0.12,1.25,0.00,16.48,-2.44,-5.49,1.25,17.54,41,554,36,29
0.16,0.79,0.23,22.28,-6.23,-10.50,0.84,25.40,61,551,46,36
0.11,0.90,0.20,-7.81,2.56,1.40,0.93,8.34,82,547,51,41
0.15,1.00,0.11,-6.47,1.53,-4.21,1.02,7.87,106,554,62,47
0.14,1.06,0.07,-0.79,0.31,-5.13,1.07,5.20,148,555,66,49
0.14,0.95,0.12,8.85,-0.06,-6.65,0.96,11.07,123,556,71,47
0.14,0.96,0.12,4.88,0.37,-4.70,0.98,6.79,118,561,72,44












































































































































's'













0.14,0.94,0.13,7.75,-0.31,-4.58,0.96,9.01,118,562,69,43
0.14,0.92,0.15,5.98,-0.06,-3.48,0.94,6.92,119,564,72,40
0.15,0.93,0.13,2.75,0.98,-2.38,0.95,3.76,123,565,77,43
0.15,0.94,0.12,3.66,0.24,-0.49,0.96,3.70,119,561,78,45
0.15,0.92,0.14,5.62,-0.55,1.65,0.94,5.88,119,562,76,47
0.13,0.99,0.13,4.09,-0.49,4.09,1.01,5.80,165,558,71,51
0.13,0.96,0.15,5.74,-0.31,0.61,0.98,5.78,129,555,74,56
0.14,0.94,0.16,4.46,0.06,-0.92,0.96,4.55,118,553,77,57
0.14,0.94,0.15,1.53,0.31,0.06,0.96,1.56,122,551,73,59
0.13,0.97,0.14,2.14,0.12,-1.04,0.99,2.38,145,555,76,57
0.15,0.96,0.14,3.42,0.24,-2.20,0.98,4.07,132,552,74,52
0.14,0.93,0.15,3.66,-0.12,-1.71,0.96,4.04,118,560,76,52
0.14,0.93,0.16,1.22,0.24,0.43,0.96,1.32,114,559,75,49
0.14,0.96,0.14,0.18,0.61,0.79,0.98,1.02,125,562,75,49
0.14,0.95,0.15,1.46,0.61,0.67,0.97,1.72,109,564,74,46
0.14,0.93,0.15,0.92,0.43,0.49,0.96,1.12,111,563,72,48
0.14,0.94,0.15,-0.43,0.92,1.83,0.96,2.09,104,565,71,48
0.13,0.96,0.14,-2.32,1.04,3.11,0.98,4.02,105,562,70,49
0.14,0.96,0.14,-0.55,0.92,2.50,0.98,2.72,99,557,67,49
0.13,0.95,0.14,1.04,0.49,2.20,0.97,2.48,107,554,63,52
0.13,0.95,0.15,1.10,0.49,2.56,0.97,2.83,102,548,63,57
0.13,0.95,0.15,0.00,1.22,3.48,0.97,3.69,114,542,61,60
0.13,0.95,0.14,-0.37,0.92,3.30,0.97,3.44,104,539,55,61
0.12,0.96,0.14,-0.18,0.85,4.15,0.98,4.24,92,535,53,61
0.12,0.96,0.15,0.98,0.49,2.87,0.98,3.07,88,534,47,62
0.12,0.95,0.15,0.85,0.61,1.77,0.97,2.06,96,531,48,65
0.12,0.95,0.14,0.00,0.73,1.77,0.97,1.92,77,529,44,65
0.12,0.96,0.14,0.43,0.55,1.46,0.98,1.62,86,529,44,67
0.12,0.95,0.14,1.28,0.24,0.79,0.97,1.53,79,528,43,67
0.12,0.96,0.15,1.89,0.18,-0.37,0.98,1.94,69,529,43,66
0.12,0.94,0.15,0.98,0.37,-0.85,0.96,1.35,72,534,46,63
0.12,0.95,0.14,-0.06,0.61,-0.61,0.97,0.87,75,537,45,64
0.12,0.96,0.14,0.67,0.61,-0.12,0.98,0.92,67,537,46,63
0.12,0.95,0.14,1.34,0.24,-0.49,0.97,1.45,71,539,45,61
0.12,0.95,0.15,1.77,0.49,-1.34,0.97,2.27,75,540,47,59
0.12,0.95,0.15,1.40,0.49,-1.65,0.97,2.22,74,541,44,56
0.12,0.95,0.15,1.46,0.43,-1.65,0.97,2.25,71,544,48,57
0.12,0.94,0.15,0.79,0.61,-1.28,0.96,1.63,72,545,49,56
0.13,0.95,0.14,0.67,0.43,-1.40,0.97,1.61,72,546,50,52
0.12,0.95,0.15,1.83,0.24,-1.53,0.97,2.40,82,549,53,53
0.13,0.95,0.15,1.46,0.49,-1.46,0.97,2.13,85,546,52,51
0.13,0.94,0.15,0.85,0.73,-0.49,0.96,1.23,77,550,53,55
0.12,0.95,0.15,0.79,0.61,-0.31,0.97,1.05,95,546,52,53
0.12,0.95,0.15,0.92,0.85,-0.43,0.97,1.32,82,550,55,54
0.12,0.95,0.15,0.61,0.79,-0.37,0.97,1.07,97,548,52,54
0.12,0.95,0.15,0.79,0.85,-0.37,0.97,1.22,83,548,53,53
